,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Question Text,Variable Label,Variable Name,Variable Type,Variable Length,conceptId,Format/Value,Response Label (select as many as apply questions only),Response Variable Name (select as many as apply questions only),Required,PII,Questions/Notes,Personal Note
,,,,,,,,,,,426119202,2 = Native Hawaiian or Other Pacific Islander,,,,,,
,,,,,,,,,,,613439456,3 = Black or African-American,,,,,,
,,,,,,,,,,,465616820,4 = White,,,,,,
,,,,,,,,,,,653603953,5 = Unknown  ,,,,,,
,979753224,Recruitment,909182835,Sign in,582714407,Site reported ethnicity,Site reported ethnicity,RcrtSI_Ethnicity_v1r0,Num,1,148210054,0 = Hispanic or Latino,,,Yes - if site wants break out for dashboard,No,Currently assumed sites will send this info with the push of active recruits,
,,,,,,,,,,,137698348,1 = Non-Hispanic or Latino,,,,,,
,,,,,,,,,,,474999819,2 = Unknown Ethnicity,,,,,,
,979753224,Recruitment,909182835,Sign in,329220689,Site reported sex assigned at birth,Site reported sex assigned at birth,RcrtSI_Sex_v1r0,Num,1,746240424,0 = Female,,,Yes,No,Currently assume sites will send this info with the push of active recruits,Aganin check spelling and SOPs
,,,,,,,,,,,747960514,1 = Male,,,,,,
,,,,,,,,,,,417416580,2 = intersex or other,,,,,,
,979753224,Recruitment,909182835,Sign in,989354873,Autogenerated flag - Signed-in,Signed-in,RcrtSI_SignedIn_v1r0,Num,1,554699872,0=No,,,Yes,,Indicates token has signed in.  ,
,,,,,,,,,,,241065629,1=Yes,,,,,"Default is zero at time token/pin assigned to recruit. For passive recruits both RcrtSI_SignedIn_v1r0 equals 1 and token assigned occur in the same step, which is after selection of site.  Once a passive recruit has a token, all subsequent flags can be populated with the default and updated as the participant proceeds.",
,979753224,Recruitment,909182835,Sign in,933329763,Autogenerated date/time - Signed-in,Time sign-in occurred,RcrtSI_SignTime_v1r0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,Yes,No,ISO format to be converted to SAS,
,979753224,Recruitment,909182835,Sign in,558482238,Autogenerated flag - url accessed,Url accessed,RcrtSI_urlAccess_v1r0,Num,1,554699872,0=No,,,Yes,No,"Anonymous hits of url will be tracked via Google Analytics. This would track clicks on url with token. Further discussion needed. If use, also need to discuss whether this will be a repeated measure for the purposes of disposition codes.  ",
,,,,,,,,,,,241065629,1=Yes,,,,,,"Revisit with Bhaumik.  I don't think they want to do, maybe done with google analytics",
,979753224,Recruitment,909182835,Sign in,630500713,Autogenerated date/time,Time url accessed,RcrtSI_urlTime_v1r0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,Yes,No,ISO format to be converted to SAS,
,979753224,Recruitment,049058428,Eligibility Screener,070709022,Healthcare provider,Site,RcrtES_Site_v1r0,Num,2,374067162,0 = HealthPartners,,,Yes -  if there is not a valid token,No,,
,,,,,,,,,,,704365491,1 = Henry Ford Health System,,,,,,
,,,,,,,,,,,887226804,2 = Kaiser Permanente Colorado,,,,,,
,,,,,,,,,,,256593671,3 = Kaiser Permanente Georgia,,,,,,
,,,,,,,,,,,967074945,4 = Kaiser Permanente Hawaii,,,,,,
,,,,,,,,,,,597427114,5 = Kaiser Permanente Northwest,,,,,,
,,,,,,,,,,,752553537,6 = Marshfield Clinic Health System,,,,,,
,,,,,,,,,,,595008703,7 = Sanford Health,,,,,,
,,,,,,,,,,,773182370,8 = University of Chicago Medicine,,,,,,
,,,,,,,,,,,657715775,88 = None of these,,,,,,
,979753224,Recruitment,049058428,Eligibility Screener,322822830,Enter your Pin number,PIN entered,RcrtES_PIN_v1r0,Char,5,,N/A,,,,No,"Currently, only Sanford is using a Pin instead of a Token.  Other sites may be added later.",Review which sites are using PINs
,979753224,Recruitment,049058428,Eligibility Screener,591278030,PIN match - autogenerated when entered PIN matches an active recruit PIN,PIN match,RcrtES_PINmatch_v1r0,Num,1,554699872,0=No,,,Yes if RcrtES_Site_v1r0 = 7,No,"Default = 0 for anyone assigned a PIN, until PIN is entered in PWA. If valad PIN not entered, participant is a passive recruit.",
,,,,,,,,,,,241065629,1=Yes,,,,,,
,979753224,Recruitment,049058428,Eligibility Screener,793124491,How did you hear about this study?,Study awareness,RcrtES_Aware_v1r0,Num,1,554699872,0=No,Physician or other medical staff,RcrtES_Aware_v1r0_phys,No,No,,
,,,,,,,,,,,241065629,1=Yes,Email or text from my healthcare provider,RcrtES_Aware_v1r0_Email,,,,
,,,,,,,,,,,443897964,,Postcard or mail,RcrtES_Aware_v1r0_Post,,,,
,,,,,,,,,,,660178714,,News article or website,RcrtES_Aware_v1r0_News,,,,
,,,,,,,,,,,342133198,,Social media,RcrtES_Aware_v1r0_Social,,,,
,,,,,,,,,,,168360372,,MyChart invitation,RcrtES_Aware_v1r0_Invite,,,,
,,,,,,,,,,,779855640,,Family or friend,RcrtES_Aware_v1r0_Family,,,,
,,,,,,,,,,,416749051,,Another Connect participant,RcrtES_Aware_v1r0_Member,,,,
,,,,,,,,,,,339182130,,"Poster, brochure, or flyer",RcrtES_Aware_v1r0_Poster,,,,
,,,,,,,,,,,424981423,,Study table at public event,RcrtES_Aware_v1r0_Table,,,,
,,,,,,,,,,,359223829,,Other,RcrtES_Aware_v1r0_Other,,,,
,979753224,Recruitment,025709952,Consent,381789734,Consent Version,Consent Version,RcrtCS_Version_v1r0,Num,2,374067162,0 = HealthPartners,,,Yes,No,Other version codes to be added as needed.,
,,,,,,,,,,,704365491,1 = Henry Ford Health System,,,,,,
,,,,,,,,,,,887226804,2 = Kaiser Permanente Colorado,,,,,,
,,,,,,,,,,,256593671,3 = Kaiser Permanente Georgia,,,,,,
,,,,,,,,,,,967074945,4 = Kaiser Permanente Hawaii,,,,,,
,,,,,,,,,,,597427114,5 = Kaiser Permanente Northwest,,,,,,
,,,,,,,,,,,752553537,6 = Marshfield Clinic Health System,,,,,,
,,,,,,,,,,,595008703,7 = Sanford Health,,,,,,
,,,,,,,,,,,773182370,8 = University of Chicago Medicine,,,,,,
,979753224,Recruitment,025709952,Consent,792890469,First Name extracted from consent form,First Name,RcrtCS_Fname_v1r0,Char,50,,N/A,,,Yes,Yes,,
,979753224,Recruitment,025709952,Consent,073205948,Last Name extracted from consent form,Last Name,RcrtCS_Lname_v1r0,Char,50,,N/A,,,Yes,Yes,,
,979753224,Recruitment,025709952,Consent,124652387,Consent Date autogenerated when consent form submitted,Participant Consent Date,RcrtCS_Pdate_v1r0,Date,8,,yyyymmdd,,,Yes,No,,
,979753224,Recruitment,025709952,Consent,553247305,Autogenerated date/time stamp for creation of derived completion time variables.,Time consent submitted,RcrtCS_ConsentSumit_v1r0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,Yes,No,ISO converted to SAS,
,979753224,Recruitment,025709952,Consent,727610610,Witness First Name extracted from consent form,Witness First Name,RcrtCS_WFname_v1r0,Char,50,,N/A,,, Yes - if RcrtCS_Version_v1r0 = 2,Yes,,
,979753224,Recruitment,025709952,Consent,859325489,Witness Last Name extracted from consent form,Witness Last Name,RcrtCS_WLname_v1r0,Char,50,,N/A,,, Yes - if RcrtCS_Version_v1r0 = 2,Yes,,
,979753224,Recruitment,025709952,Consent,190126405,Witness Consent Date autogenerated when consent form submitted,Witness Consent Date,RcrtCS_Wdate_v1r0,Date,8,,yyyymmdd,,, Yes - if RcrtCS_Version_v1r0 = 2,No,,
,979753224,Recruitment,025709952,Consent,567294615,Autogenerated flag -  when consent form submitted,Consent submitted,RcrtCS_Consented_v1r0,Num,1,554699872,0=No,,,Yes,No,Default automatically set to = 0 when PIN/Token assigned.,
,,,,,,,,,,,241065629,1=Yes,,,,,,
,979753224,Recruitment,025709952,Consent,748204610,Connect ID autogenerated when consent form submitted,Connect ID,Connect_ID,Char,10,,N/A,,,Yes,No,,
,979753224,Recruitment,215127171,Post-consent,936368598,Firebase authentication userid,Account UserID,RcrtPC_Acnt_UserID_v1r0,Char,240,,N/A,,,Yes,Yes,,
,979753224,Recruitment,215127171,Post-consent,642238952,Firebase authentication email,Account Email,RcrtPC_Acnt_Email_v1r0,Char,120,,N/A,,,Yes,Yes,,
,979753224,Recruitment,215127171,Post-consent,791493016,Firebase authentication first name,Account First Name,RcrtPC_Acnt_Fname_v1r0,Char,50,,N/A,,,Yes,Yes,,
,979753224,Recruitment,215127171,Post-consent,620267084,Firebase authentication last name,Account Last Name,RcrtPC_Acnt_Lname_v1r0,Char,50,,N/A,,,Yes,Yes,,
,979753224,Recruitment,215127171,Post-consent,914151972,Firebase authentication sign-in mechanism,Account Sign-in Mechanism,RcrtPC_Acnt_SignIn_v1r0,Num,1,253196710,0 = Gmail,,,Yes,Yes,,
,,,,,,,,,,,006323624,1 = Non-Gmail Email,,,,,,
,,,,,,,,,,,470713184,2 = Cell phone,,,,,,
,979753224,Recruitment,577695223,User Profile,363811809,First Name ,First Name,RCRTUP_FNAME_V1R0,Char,50,,N/A,,,Yes,Yes,,
,979753224,Recruitment,577695223,User Profile,077110142,Middle Initial,Middle Initial,RCRTUP_MINITAL_V1R0,Char,1,,N/A,,,No,Yes,,
,979753224,Recruitment,577695223,User Profile,839170284,Last Name,Last Name,RCRTUP_LNAME_V1R0,Char,50,,N/A,,,Yes,Yes,,
,979753224,Recruitment,577695223,User Profile,705144602,Suffix,Suffix,RCRTUP_SUFFIX_V1R0,Char,10,,N/A,,,No,Yes,,
,979753224,Recruitment,577695223,User Profile,588862094,What is your date of birth?,Date of Birth,RCRTUP_DOB_V1R0,Date,10,,dd/mm/yyyy,,,Yes,Yes,,
,979753224,Recruitment,577695223,User Profile,235985721,Age derived from DOB,Derived age,RCRTUP_DOB_AGE_v1R0,Num,3,,N/A,,,Yes,No,,
,979753224,Recruitment,577695223,User Profile,467181086,"At birth, how was your physical sex assigned?",Sex at Birth,SEX,Char,2,746240424,2 = Female,,,Yes,Yes,"Modified to accomidate questionnaire Module 1 as info from this question is used for skip logic,",
,,,,,,,,,,,747960514,1 = Male,,,,,,
,,,,,,,,,,,813491264,3 = Intersex or other,,,,,,
,979753224,Recruitment,577695223,User Profile,587790197,"Kaiser Medical Record Number, use this form of the variable if RcrtES_Site_v1r0 = 2",KPMRN Chicago,RCRTUP_KPMRN_CO_V1R0,Char,9,,N/A,,,No,Yes,"This variable is needed for Kaiser sites only.  Length of variable is different among Kaiser sites as indicated.  As all sites except HI use leading zeros, thus MRN is a character variable.",
,979753224,Recruitment,577695223,User Profile,417804755,"Kaiser Medical Record Number, use this form of the variable if RcrtES_Site_v1r0 =3",KPMRN Georgia,RCRTUP_KPMRN_GA_V1R0,Char,7,,N/A,,,No,Yes,,
,979753224,Recruitment,577695223,User Profile,290952435,"Kaiser Medical Record Number, use this form of the variable if RcrtES_Site_v1r0 = 4",KPMRN Hawii,RCRTUP_KPMRN_HI_V1R0,Char,9,,N/A,,,No,Yes,,
,979753224,Recruitment,577695223,User Profile,904963478,"Kaiser Medical Record Number, use this form of the variable if RcrtES_Site_v1r0 = 5",KPMRN Northwest,RcrtUP_KPMRN_NW_V1R0,Char,8,,N/A,,,No,Yes,,
,979753224,Recruitment,577695223,User Profile,165637404,Email Address 1,Email Address 1,RCRTUP_EMAIL1_V1R0,Char,120,,N/A,,,Yes if no phone,Yes,,
,979753224,Recruitment,577695223,User Profile,493227487,Email Address 2,Email Address 2,RCRTUP_EMAIL2_V1R0,Char,120,,N/A,,,No,Yes,,
,979753224,Recruitment,577695223,User Profile,991420501,Email Address 3,Email Address 3,RCRTUP_EMAIL3_V1R0,Char,120,,N/A,,,No,Yes,,
,979753224,Recruitment,577695223,User Profile,851746812,Phone Number 1,Phone Number 1,RCRTUP_PHONE1_V1R0,Num,10,,N/A,,,Yes if no email,Yes,"Type and length are based on a numbers only format, no dashes",
,979753224,Recruitment,577695223,User Profile,685997415,Phone Number 1 Type,Phone Number 1 Type,RCRTUP_NUMTYPE1_V1R0,Num,1,949225861,0 = Mobile,,,No,No,,
,,,,,,,,,,,245870040,1 = Home,,,,,,
,,,,,,,,,,,604308028,2 = Work,,,,,,
,,,,,,,,,,,359223829,3 = Other,,,,,,
,979753224,Recruitment,577695223,User Profile,702097007,Phone Number 2,Phone Number 2,RCRTUP_PHONE_V1R0,Num,10,,N/A,,,No,Yes,"Type and length are based on a numbers only format, no dashes",
,979753224,Recruitment,577695223,User Profile,937636802,Phone Number 2 Type,Phone Number 2 Type,RCRTUP_NUMTYPE2_V1R0,Num,1,949225861,0 = Mobile,,,No,No,,
,,,,,,,,,,,245870040,1 = Home,,,,,,
,,,,,,,,,,,604308028,2 = Work,,,,,,
,,,,,,,,,,,359223829,3 = Other,,,,,,
,979753224,Recruitment,577695223,User Profile,039557933,Phone Number 3,Phone Number 3,RCRTUP_PHONE3_V1R0,Num,10,,N/A,,,No,Yes,"Type and length are based on a numbers only format, no dashes",
,979753224,Recruitment,577695223,User Profile,730801518,Phone number 3 type,Phone Number 3 Type,RCRTUP_NUMTYPE3_V1R0,Num,1,949225861,0 = Mobile,,,No,No,,
,,,,,,,,,,,245870040,1 = Home,,,,,,
,,,,,,,,,,,604308028,2 = Work,,,,,,
,,,,,,,,,,,359223829,3 = Other,,,,,,
,979753224,Recruitment,577695223,User Profile,577996134,Phone Number 4,Phone Number 4,RCRTUP_PHONE4_V1R0,Num,10,,N/A,,,No,Yes,"Type and length are based on a numbers only format, no dashes",
,979753224,Recruitment,577695223,User Profile,093136801,Phone Number 4 Type,Phone Number 4 Type,RCRTUP_NUMTYPE4_V1R0,Num,1,949225861,0 = Mobile,,,No,No,,
,,,,,,,,,,,245870040,1 = Home,,,,,,
,,,,,,,,,,,604308028,2 = Work,,,,,,
,,,,,,,,,,,359223829,3 = Other,,,,,,
,979753224,Recruitment,577695223,User Profile,668900863,What is your preferred method of contact?,Preferred method of contact,RCRTUP_PREFMETHOD_V1R0 ,Char,120,699118174,Options populated from:,,,No,Yes,,
,,,,,,,,,,,165637404,RCRTUP_EMAIL1_V1R0,,,,,,
,,,,,,,,,,,493227487,RCRTUP_EMAIL2_V1R0,,,,,,
,,,,,,,,,,,991420501,RCRTUP_EMAIL3_V1R0,,,,,,
,,,,,,,,,,,851746812,RCRTUP_PHONE1_V1R0,,,,,,
,,,,,,,,,,,744288571,RCRTUP_PHONE2_V1R0,,,,,,
,,,,,,,,,,,039557933,RCRTUP_PHONE3_V1R0,,,,,,
,,,,,,,,,,,577996134,RCRTUP_PHONE4_V1R0,,,,,,
,979753224,Recruitment,577695223,User Profile,532670985,Address line 1,Address line 1,RCRTUP_ADDRESSLN1_V1R0,Char,70,,N/A,,,Yes,Yes,,
,979753224,Recruitment,577695223,User Profile,028856734,Address line 2,Address line 2,RCRTUP_ADDRESSLN2_V1R0,Char,70,,N/A,,,No,Yes,,
,979753224,Recruitment,577695223,User Profile,305071770,City,City,RCRTUP_CITY_V1R0,Char,45,,N/A,,,Yes,Yes,,
,979753224,Recruitment,577695223,User Profile,636901414,State,State,RCRTUP_STATE_V1R0,Num,2,,See ,,,Yes,Yes,,
,855901710, Recruitment,577695223,User Profile,847163374,Zip,Zip,RCRTUP_ZIP_V1R0,Num,5,,N/A,,,Yes,Yes,,
,855901710, Recruitment,577695223,User Profile,013599059,Have you ever been diagnosed with cancer (other than non-melanoma skin cancer)?,Previous Cancer,RCRTUP_CANCER_V1R0,Num,1,554699872,0 = No,,,No,No,,
,,,,,,,,,,,241065629,1 = Yes,,,,,,
,855901710, Recruitment,577695223,User Profile,075875789,What year were you diagnosed?,Cancer Year,RCRTUP_CANCERYR_V1R0,Year,4,,yyyy,,,No,No,Only shown if answer to RCRTUP_CANCER_V1R0 = 1,
,855901710, Recruitment,577695223,User Profile,218849169,What type of cancer?,Cancer Type,RCRTUP_CANCERTYPE_V1R0,Char,TBD,,N/A,,,No,No,"Only shown if answer to RCRTUP_CANCER_V1R0 = 1. Need to decide reasonable length for open text response, if length is required for programing.",
,855901710, Recruitment,577695223,User Profile,062216388,Any comments about your cancer diagnosis:,Cancer Comments,RCRTUP_CANCERCOMTS_V1R0,Char,TBD,,N/A,,,No,No,"Only shown if answer to RCRTUP_CANCER_V1R0 = 1. Need to decide reasonable length for open text response, if length is required for programing.",
,979753224,Recruitment,577695223,User Profile,786620503,Autogenerated flag when User Profile submitted,User Profile submitted,RCRTUP_SUBMITTER_V1R0,Num,1,554699872,0 = No,,,Yes ,No,,
,,,,,,,,,,,241065629,1 = Yes,,,,,,
,979753224,Recruitment,577695223,User Profile,359883424,Autogenerated date/time when User Profile submitted,Time User Profile submitted,RCRTUP_SUBMITTIME_V1R0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,Yes,Np,,
,855901710, Recruitment,577695223,User Profile,195554614,Please enter your Social Security Number,Social Security Number,RCRTUP_SSN_V1R0,Num,9,,N/A,,,No,Yes,"Type and length are based on a numbers only format, no dashes",
,979753224,Recruitment,577695223,User Profile,172613352,Autogenerated flag indicating whether full Social Security Number was given (i.e.  Whether RcrtUP_SSN_V1R0 was populated),Social Security Number Given,RCRTUP_SSN_GIVEN_V1R0,Num,1,554699872,0 = No,,,Yes,No,,
,,,,,,,,,,,241065629,1 = Yes,,,,,,
,979753224,Recruitment,577695223,User Profile,783360766,Autogenerated date/time when Social Security Number submitted,Full Social Security number submitted,RCRTUP_SSNTIME_V1R0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,Yes,No,,
,855901710, Recruitment,577695223,User Profile,770568238,Last 4 digits of Social Security Number,SSN last 4 digits,RCRTUP_SSN4D_V1R0,Num,4,,N/A,,,No,Yes,Question shown only if full SSN is NOT given.,
,979753224,Recruitment,577695223,User Profile,096937946,Autogenerated flag indicating whether partical Social Security Number was given (i.e.  Whether RcrtUP_SSN4d_V1R0 was populated),Last 4 digits of Social Security Number Given,RCRTUP_SSN4D_GIVEN_V1R0,Num,1,554699872,0 = No,,,Yes,No,,
,,,,,,,,,,,241065629,1 = Yes,,,,,,
,979753224,Recruitment,577695223,User Profile,739031917,Autogenerated date/time when partical Social Security Number submitted,Full Social Security number submitted,RCRTUP_SSN4dTIME_V1R0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,Yes,No,,
,979753224,Recruitment,489234835,Completion Time,591494645,Derived variable for the time from sign-in to submission of consent as RcrtCS_ConsentSumit_v1r0 - RcrtSI_SignTime_v1r0,Time from account to consent,RCRTCT_ACCT_CNST_V1R0,Minutes,18,,N/A,,,Yes,No,"Can be further derived to other time units (e.g. hours + fractions of hours) or as multiple time variables (e.g. hours, minutes, and seconds)",
,979753224,Recruitment,489234835,Completion Time,364824888,Derived variable for the time from submission of consent to completion of User Profile as RcrtUP_SUBMITTIME_V1R0 - RcrtCS_ConsentSumit_v1r0,Time from consent to user profile,RCRTCT_CNST_UP_V1R0,Minutes,18,,N/A,,,Yes,No,"Can be further derived to other time units (e.g. hours + fractions of hours) or as multiple time variables (e.g. hours, minutes, and seconds)",
,979753224,Recruitment,489234835,Completion Time,229238149,Derived variable for the time from submission of User Profile to submission of social security as RCRTUP_SSNTIME_V1R0-RCRTUP_SUBMITTIME_V1R0 or RcrtUP_SSN4dTIME_V1R0-RCRTUP_SUBMITTIME_V1R0 if partial SSN given.,Time from user profile to social security,RCRTCT_UP_SSN_V1R0,Minutes,18,,N/A,,,Yes,No,"Can be further derived to other time units (e.g. hours + fractions of hours) or as multiple time variables (e.g. hours, minutes, and seconds)",
,979753224,Recruitment,489234835,Completion Time,512011577,Derived variable for the time from sign-in to completion of SSN as RCRTUP_SSNTIME_V1R0 -RcrtSI_SignTime_v1r0 or RCRTUP_SSN4DTIME_V1R0 - RcrtSI_SignTime_v1r0 if partial SSN given.,Time from account to social security,RCRTCT_ACCT_SSN_V1R0,Minutes,18,,N/A,,,Yes,No,"Can be further derived to other time units (e.g. hours + fractions of hours) or as multiple time variables (e.g. hours, minutes, and seconds)",
,979753224,Recruitment,995791045,Verification,672744527,Indicator of match verification after creation of user profile - updated by sites,Verification status,RcrtV_Verification_V1R0,Num,1,242020905,0 = Not yet verified,,,Yes,No,"Default, Not yet verified - 0, assigned at submission StudyIDs from sites.  Updates will be received from the Sites.",
,,,,,,,,,,,661516658,1 = Verified,,,,,,
,,,,,,,,,,,211839024,2 = Cannot be verified,,,,,,
,979753224,Recruitment,995791045,Verification,569478894,Autogenerated date/time verification status is updated,Verification status time,RcrtV_VerificationTm_V1R0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,Yes,No,,
