,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Question Text,Variable Label,Variable Name,Variable Type,Variable Length,conceptId,Format/Value,conceptId,Response Label (select as many as apply questions only),Response Variable Name (select as many as apply questions only),Required,PII,Questions/Notes,Personal Note
,,,,,,,,,,,412328393,1 = 46-50,,,,,,,
,,,,,,,,,,,526185749,2 = 51-55,,,,,,,
,,,,,,,,,,,281194726,3 = 56-60,,,,,,,
,,,,,,,,,,,648384360,4 = 61-65,,,,,,,
,496143846,Recruitment,123136537,Sign in,535334712,Site reported race,Site reported race,RcrtSI_Race_v1r0,Num,1,889906935,0 = American Indian/Alaskan Native,,,,Yes - if site wants break out for dashboard,No,Currently assume sites will send this info with the push of active recruits,Need to check SOPs for roll up
,,,,,,,,,,,245859350,1 = Asian,,,,,,,
,,,,,,,,,,,586112767,2 = Native Hawaiian or Other Pacific Islander,,,,,,,
,,,,,,,,,,,826805357,3 = Black or African-American,,,,,,,
,,,,,,,,,,,972344668,4 = White,,,,,,,
,,,,,,,,,,,939148847,5 = Unknown  ,,,,,,,
,496143846,Recruitment,123136537,Sign in,772184010,Site reported ethnicity,Site reported ethnicity,RcrtSI_Ethnicity_v1r0,Num,1,703092000,0 = Hispanic or Latino,,,,Yes - if site wants break out for dashboard,No,Currently assumed sites will send this info with the push of active recruits,
,,,,,,,,,,,204549191,1 = Non-Hispanic or Latino,,,,,,,
,,,,,,,,,,,716220389,2 = Unknown Ethnicity,,,,,,,
,496143846,Recruitment,123136537,Sign in,675914726,Site reported sex assigned at birth,Site reported sex assigned at birth,RcrtSI_Sex_v1r0,Num,1,264529131,0 = Female,,,,Yes,No,Currently assume sites will send this info with the push of active recruits,Aganin check spelling and SOPs
,,,,,,,,,,,787421836,1 = Male,,,,,,,
,,,,,,,,,,,903877219,2 = intersex or other,,,,,,,
,496143846,Recruitment,123136537,Sign in,986969304,Autogenerated flag - Signed-in,Signed-in,RcrtSI_SignedIn_v1r0,Num,1,948822781,0=No,753846541,,,Yes,,Indicates token has signed in.  ,
,,,,,,,,,,,679768715,1=Yes,310707161,,,,,"Default is zero at time token/pin assigned to recruit. For passive recruits both RcrtSI_SignedIn_v1r0 equals 1 and token assigned occur in the same step, which is after selection of site.  Once a passive recruit has a token, all subsequent flags can be populated with the default and updated as the participant proceeds.",
,496143846,Recruitment,123136537,Sign in,802419152,Autogenerated date/time - Signed-in,Time sign-in occurred,RcrtSI_SignTime_v1r0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,,Yes,No,ISO format to be converted to SAS,
,496143846,Recruitment,123136537,Sign in,564388216,Autogenerated flag - url accessed,Url accessed,RcrtSI_urlAccess_v1r0,Num,1,948822781,0=No,,,,Yes,No,"Anonymous hits of url will be tracked via Google Analytics. This would track clicks on url with token. Further discussion needed. If use, also need to discuss whether this will be a repeated measure for the purposes of disposition codes.  ",
,,,,,,,,,,,679768715,1=Yes,624644752,,,,,,"Revisit with Bhaumik.  I don't think they want to do, maybe done with google analytics",
,496143846,Recruitment,123136537,Sign in,995822593,Autogenerated date/time,Time url accessed,RcrtSI_urlTime_v1r0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,,Yes,No,ISO format to be converted to SAS,
,496143846,Recruitment,000315723,Eligibility Screener,185302658,Healthcare provider,Site,RcrtES_Site_v1r0,Num,2,285171340,0 = HealthPartners,,,,Yes -  if there is not a valid token,No,,
,,,,,,,,,,,075946258,1 = Henry Ford Health System,,,,,,,
,,,,,,,,,,,917760175,2 = Kaiser Permanente Colorado,,,,,,,
,,,,,,,,,,,925157632,3 = Kaiser Permanente Georgia,,,,,,,
,,,,,,,,,,,063951137,4 = Kaiser Permanente Hawaii,,,,,,,
,,,,,,,,,,,536976161,5 = Kaiser Permanente Northwest,,,,,,,
,,,,,,,,,,,968476401,6 = Marshfield Clinic Health System,,,,,,,
,,,,,,,,,,,341506221,7 = Sanford Health,,,,,,,
,,,,,,,,,,,810138865,8 = University of Chicago Medicine,,,,,,,
,,,,,,,,,,,816134425,88 = None of these,,,,,,,
,496143846,Recruitment,000315723,Eligibility Screener,074360046,Enter your Pin number,PIN entered,RcrtES_PIN_v1r0,Char,5,,N/A,,,,,No,"Currently, only Sanford is using a Pin instead of a Token.  Other sites may be added later.",Review which sites are using PINs
,496143846,Recruitment,000315723,Eligibility Screener,381079677,PIN match - autogenerated when entered PIN matches an active recruit PIN,PIN match,RcrtES_PINmatch_v1r0,Num,1,948822781,0=No,,,,Yes if RcrtES_Site_v1r0 = 7,No,"Default = 0 for anyone assigned a PIN, until PIN is entered in PWA. If valad PIN not entered, participant is a passive recruit.",
,,,,,,,,,,,679768715,1=Yes,,,,,,,
,496143846,Recruitment,000315723,Eligibility Screener,537551820,How did you hear about this study?,Study awareness,RcrtES_Aware_v1r0,Num,1,948822781,0=No,320405122,Physician or other medical staff,RcrtES_Aware_v1r0_phys,No,No,,
,,,,,,,,,,,679768715,1=Yes,688213869,Email or text from my healthcare provider,RcrtES_Aware_v1r0_Email,,,,
,,,,,,,,,,,,,578519185,Postcard or mail,RcrtES_Aware_v1r0_Post,,,,
,,,,,,,,,,,,,586850219,News article or website,RcrtES_Aware_v1r0_News,,,,
,,,,,,,,,,,,,875882338,Social media,RcrtES_Aware_v1r0_Social,,,,
,,,,,,,,,,,,,197485660,MyChart invitation,RcrtES_Aware_v1r0_Invite,,,,
,,,,,,,,,,,,,667657270,Family or friend,RcrtES_Aware_v1r0_Family,,,,
,,,,,,,,,,,,,869048602,Another Connect participant,RcrtES_Aware_v1r0_Member,,,,
,,,,,,,,,,,,,487206877,"Poster, brochure, or flyer",RcrtES_Aware_v1r0_Poster,,,,
,,,,,,,,,,,,,671910903,Study table at public event,RcrtES_Aware_v1r0_Table,,,,
,,,,,,,,,,,,,562025643,Other,RcrtES_Aware_v1r0_Other,,,,
,496143846,Recruitment,438551364,Consent,462893579,Consent Version,Consent Version,RcrtCS_Version_v1r0,Num,2,285171340,0 = HealthPartners,,,,Yes,No,Other version codes to be added as needed.,
,,,,,,,,,,,075946258,1 = Henry Ford Health System,,,,,,,
,,,,,,,,,,,917760175,2 = Kaiser Permanente Colorado,,,,,,,
,,,,,,,,,,,925157632,3 = Kaiser Permanente Georgia,,,,,,,
,,,,,,,,,,,063951137,4 = Kaiser Permanente Hawaii,,,,,,,
,,,,,,,,,,,536976161,5 = Kaiser Permanente Northwest,,,,,,,
,,,,,,,,,,,968476401,6 = Marshfield Clinic Health System,,,,,,,
,,,,,,,,,,,341506221,7 = Sanford Health,,,,,,,
,,,,,,,,,,,810138865,8 = University of Chicago Medicine,,,,,,,
,496143846,Recruitment,438551364,Consent,468725951,First Name extracted from consent form,First Name,RcrtCS_Fname_v1r0,Char,50,,N/A,,,,Yes,Yes,,
,496143846,Recruitment,438551364,Consent,740005194,Last Name extracted from consent form,Last Name,RcrtCS_Lname_v1r0,Char,50,,N/A,,,,Yes,Yes,,
,496143846,Recruitment,438551364,Consent,106166026,Consent Date autogenerated when consent form submitted,Participant Consent Date,RcrtCS_Pdate_v1r0,Date,8,,yyyymmdd,,,,Yes,No,,
,496143846,Recruitment,438551364,Consent,267225911,Autogenerated date/time stamp for creation of derived completion time variables.,Time consent submitted,RcrtCS_ConsentSumit_v1r0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,,Yes,No,ISO converted to SAS,
,496143846,Recruitment,438551364,Consent,091104888,Witness First Name extracted from consent form,Witness First Name,RcrtCS_WFname_v1r0,Char,50,,N/A,,,, Yes - if RcrtCS_Version_v1r0 = 2,Yes,,
,496143846,Recruitment,438551364,Consent,989464835,Witness Last Name extracted from consent form,Witness Last Name,RcrtCS_WLname_v1r0,Char,50,,N/A,,,, Yes - if RcrtCS_Version_v1r0 = 2,Yes,,
,496143846,Recruitment,438551364,Consent,459838274,Witness Consent Date autogenerated when consent form submitted,Witness Consent Date,RcrtCS_Wdate_v1r0,Date,8,,yyyymmdd,,,, Yes - if RcrtCS_Version_v1r0 = 2,No,,
,496143846,Recruitment,438551364,Consent,480608517,Autogenerated flag -  when consent form submitted,Consent submitted,RcrtCS_Consented_v1r0,Num,1,948822781,0=No,,,,Yes,No,Default automatically set to = 0 when PIN/Token assigned.,
,,,,,,,,,,,679768715,1=Yes,,,,,,,
,496143846,Recruitment,438551364,Consent,562589884,Connect ID autogenerated when consent form submitted,Connect ID,Connect_ID,Char,10,,N/A,,,,Yes,No,,
,496143846,Recruitment,092971979,Post-consent,349785486,Firebase authentication userid,Account UserID,RcrtPC_Acnt_UserID_v1r0,Char,240,,N/A,,,,Yes,Yes,,
,496143846,Recruitment,092971979,Post-consent,818641702,Firebase authentication email,Account Email,RcrtPC_Acnt_Email_v1r0,Char,120,,N/A,,,,Yes,Yes,,
,496143846,Recruitment,092971979,Post-consent,068010757,Firebase authentication first name,Account First Name,RcrtPC_Acnt_Fname_v1r0,Char,50,,N/A,,,,Yes,Yes,,
,496143846,Recruitment,092971979,Post-consent,674757159,Firebase authentication last name,Account Last Name,RcrtPC_Acnt_Lname_v1r0,Char,50,,N/A,,,,Yes,Yes,,
,496143846,Recruitment,092971979,Post-consent,344681571,Firebase authentication sign-in mechanism,Account Sign-in Mechanism,RcrtPC_Acnt_SignIn_v1r0,Num,1,758773697,0 = Gmail,,,,Yes,Yes,,
,,,,,,,,,,,447891184,1 = Non-Gmail Email,,,,,,,
,,,,,,,,,,,974279615,2 = Cell phone,,,,,,,
,496143846,Recruitment,676482763,User Profile,464872280,First Name ,First Name,RCRTUP_FNAME_V1R0,Char,50,,N/A,,,,Yes,Yes,,
,496143846,Recruitment,676482763,User Profile,616046496,Middle Initial,Middle Initial,RCRTUP_MINITAL_V1R0,Char,1,,N/A,,,,No,Yes,,
,496143846,Recruitment,676482763,User Profile,812029785,Last Name,Last Name,RCRTUP_LNAME_V1R0,Char,50,,N/A,,,,Yes,Yes,,
,496143846,Recruitment,676482763,User Profile,388508698,Suffix,Suffix,RCRTUP_SUFFIX_V1R0,Char,10,,N/A,,,,No,Yes,,
,496143846,Recruitment,676482763,User Profile,620983067,What is your date of birth?,Date of Birth,RCRTUP_DOB_V1R0,Date,10,,dd/mm/yyyy,,,,Yes,Yes,,
,496143846,Recruitment,676482763,User Profile,775917452,Age derived from DOB,Derived age,RCRTUP_DOB_AGE_v1R0,Num,3,,N/A,,,,Yes,No,,
,496143846,Recruitment,676482763,User Profile,075212208,"At birth, how was your physical sex assigned?",Sex at Birth,SEX,Char,2,264529131,2 = Female,,,,Yes,Yes,"Modified to accomidate questionnaire Module 1 as info from this question is used for skip logic,",
,,,,,,,,,,,787421836,1 = Male,,,,,,,
,,,,,,,,,,,554927484,3 = Intersex or other,,,,,,,
,496143846,Recruitment,676482763,User Profile,136590016,"Kaiser Medical Record Number, use this form of the variable if RcrtES_Site_v1r0 = 2",KPMRN Chicago,RCRTUP_KPMRN_CO_V1R0,Char,9,,N/A,,,,No,Yes,"This variable is needed for Kaiser sites only.  Length of variable is different among Kaiser sites as indicated.  As all sites except HI use leading zeros, thus MRN is a character variable.",
,496143846,Recruitment,676482763,User Profile,900522179,"Kaiser Medical Record Number, use this form of the variable if RcrtES_Site_v1r0 =3",KPMRN Georgia,RCRTUP_KPMRN_GA_V1R0,Char,7,,N/A,,,,No,Yes,,
,496143846,Recruitment,676482763,User Profile,983477238,"Kaiser Medical Record Number, use this form of the variable if RcrtES_Site_v1r0 = 4",KPMRN Hawii,RCRTUP_KPMRN_HI_V1R0,Char,9,,N/A,,,,No,Yes,,
,496143846,Recruitment,676482763,User Profile,188854614,"Kaiser Medical Record Number, use this form of the variable if RcrtES_Site_v1r0 = 5",KPMRN Northwest,RcrtUP_KPMRN_NW_V1R0,Char,8,,N/A,,,,No,Yes,,
,496143846,Recruitment,676482763,User Profile,495042010,Email Address 1,Email Address 1,RCRTUP_EMAIL1_V1R0,Char,120,,N/A,,,,Yes if no phone,Yes,,
,496143846,Recruitment,676482763,User Profile,323698302,Email Address 2,Email Address 2,RCRTUP_EMAIL2_V1R0,Char,120,,N/A,,,,No,Yes,,
,496143846,Recruitment,676482763,User Profile,804685316,Email Address 3,Email Address 3,RCRTUP_EMAIL3_V1R0,Char,120,,N/A,,,,No,Yes,,
,496143846,Recruitment,676482763,User Profile,939491870,Phone Number 1,Phone Number 1,RCRTUP_PHONE1_V1R0,Num,10,,N/A,,,,Yes if no email,Yes,"Type and length are based on a numbers only format, no dashes",
,496143846,Recruitment,676482763,User Profile,816438631,Phone Number 1 Type,Phone Number 1 Type,RCRTUP_NUMTYPE1_V1R0,Num,1,749357257,0 = Mobile,,,,No,No,,
,,,,,,,,,,,427054217,1 = Home,,,,,,,
,,,,,,,,,,,387975604,2 = Work,,,,,,,
,,,,,,,,,,,562025643,3 = Other,,,,,,,
,496143846,Recruitment,676482763,User Profile,404800656,Phone Number 2,Phone Number 2,RCRTUP_PHONE_V1R0,Num,10,,N/A,,,,No,Yes,"Type and length are based on a numbers only format, no dashes",
,496143846,Recruitment,676482763,User Profile,089763846,Phone Number 2 Type,Phone Number 2 Type,RCRTUP_NUMTYPE2_V1R0,Num,1,749357257,0 = Mobile,,,,No,No,,
,,,,,,,,,,,427054217,1 = Home,,,,,,,
,,,,,,,,,,,387975604,2 = Work,,,,,,,
,,,,,,,,,,,562025643,3 = Other,,,,,,,
,496143846,Recruitment,676482763,User Profile,290774426,Phone Number 3,Phone Number 3,RCRTUP_PHONE3_V1R0,Num,10,,N/A,,,,No,Yes,"Type and length are based on a numbers only format, no dashes",
,496143846,Recruitment,676482763,User Profile,527496517,Phone number 3 type,Phone Number 3 Type,RCRTUP_NUMTYPE3_V1R0,Num,1,749357257,0 = Mobile,,,,No,No,,
,,,,,,,,,,,427054217,1 = Home,,,,,,,
,,,,,,,,,,,387975604,2 = Work,,,,,,,
,,,,,,,,,,,562025643,3 = Other,,,,,,,
,496143846,Recruitment,676482763,User Profile,141969464,Phone Number 4,Phone Number 4,RCRTUP_PHONE4_V1R0,Num,10,,N/A,,,,No,Yes,"Type and length are based on a numbers only format, no dashes",
,496143846,Recruitment,676482763,User Profile,959181886,Phone Number 4 Type,Phone Number 4 Type,RCRTUP_NUMTYPE4_V1R0,Num,1,749357257,0 = Mobile,,,,No,No,,
,,,,,,,,,,,427054217,1 = Home,,,,,,,
,,,,,,,,,,,387975604,2 = Work,,,,,,,
,,,,,,,,,,,562025643,3 = Other,,,,,,,
,496143846,Recruitment,676482763,User Profile,861706007,What is your preferred method of contact?,Preferred method of contact,RCRTUP_PREFMETHOD_V1R0 ,Char,120,,Options populated from:,020404883,,,No,Yes,,
,,,,,,,,,,,,RCRTUP_EMAIL1_V1R0,495042010,,,,,,
,,,,,,,,,,,,RCRTUP_EMAIL2_V1R0,323698302,,,,,,
,,,,,,,,,,,,RCRTUP_EMAIL3_V1R0,804685316,,,,,,
,,,,,,,,,,,,RCRTUP_PHONE1_V1R0,939491870,,,,,,
,,,,,,,,,,,,RCRTUP_PHONE2_V1R0,424081471,,,,,,
,,,,,,,,,,,,RCRTUP_PHONE3_V1R0,290774426,,,,,,
,,,,,,,,,,,,RCRTUP_PHONE4_V1R0,141969464,,,,,,
,496143846,Recruitment,676482763,User Profile,614897652,Address line 1,Address line 1,RCRTUP_ADDRESSLN1_V1R0,Char,70,,N/A,,,,Yes,Yes,,
,496143846,Recruitment,676482763,User Profile,895392170,Address line 2,Address line 2,RCRTUP_ADDRESSLN2_V1R0,Char,70,,N/A,,,,No,Yes,,
,496143846,Recruitment,676482763,User Profile,884493897,City,City,RCRTUP_CITY_V1R0,Char,45,,N/A,,,,Yes,Yes,,
,496143846,Recruitment,676482763,User Profile,010553508,State,State,RCRTUP_STATE_V1R0,Num,2,,See ,,,,Yes,Yes,,
,016812305, Recruitment,676482763,User Profile,117844899,Zip,Zip,RCRTUP_ZIP_V1R0,Num,5,,N/A,,,,Yes,Yes,,
,016812305, Recruitment,676482763,User Profile,752995932,Have you ever been diagnosed with cancer (other than non-melanoma skin cancer)?,Previous Cancer,RCRTUP_CANCER_V1R0,Num,1,948822781,0 = No,,,,No,No,,
,,,,,,,,,,,679768715,1 = Yes,,,,,,,
,016812305, Recruitment,676482763,User Profile,297384525,What year were you diagnosed?,Cancer Year,RCRTUP_CANCERYR_V1R0,Year,4,,yyyy,,,,No,No,Only shown if answer to RCRTUP_CANCER_V1R0 = 1,
,016812305, Recruitment,676482763,User Profile,969312104,What type of cancer?,Cancer Type,RCRTUP_CANCERTYPE_V1R0,Char,TBD,,N/A,,,,No,No,"Only shown if answer to RCRTUP_CANCER_V1R0 = 1. Need to decide reasonable length for open text response, if length is required for programing.",
,016812305, Recruitment,676482763,User Profile,003249502,Any comments about your cancer diagnosis:,Cancer Comments,RCRTUP_CANCERCOMTS_V1R0,Char,TBD,,N/A,,,,No,No,"Only shown if answer to RCRTUP_CANCER_V1R0 = 1. Need to decide reasonable length for open text response, if length is required for programing.",
,496143846,Recruitment,676482763,User Profile,452803132,Autogenerated flag when User Profile submitted,User Profile submitted,RCRTUP_SUBMITTER_V1R0,Num,1,948822781,0 = No,,,,Yes ,No,,
,,,,,,,,,,,679768715,1 = Yes,,,,,,,
,496143846,Recruitment,676482763,User Profile,825717289,Autogenerated date/time when User Profile submitted,Time User Profile submitted,RCRTUP_SUBMITTIME_V1R0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,,Yes,Np,,
,016812305, Recruitment,676482763,User Profile,016174901,Please enter your Social Security Number,Social Security Number,RCRTUP_SSN_V1R0,Num,9,,N/A,,,,No,Yes,"Type and length are based on a numbers only format, no dashes",
,496143846,Recruitment,676482763,User Profile,987862422,Autogenerated flag indicating whether full Social Security Number was given (i.e.  Whether RcrtUP_SSN_V1R0 was populated),Social Security Number Given,RCRTUP_SSN_GIVEN_V1R0,Num,1,948822781,0 = No,,,,Yes,No,,
,,,,,,,,,,,679768715,1 = Yes,,,,,,,
,496143846,Recruitment,676482763,User Profile,920574780,Autogenerated date/time when Social Security Number submitted,Full Social Security number submitted,RCRTUP_SSNTIME_V1R0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,,Yes,No,,
,016812305, Recruitment,676482763,User Profile,608013318,Last 4 digits of Social Security Number,SSN last 4 digits,RCRTUP_SSN4D_V1R0,Num,4,,N/A,,,,No,Yes,Question shown only if full SSN is NOT given.,
,496143846,Recruitment,676482763,User Profile,561315201,Autogenerated flag indicating whether partical Social Security Number was given (i.e.  Whether RcrtUP_SSN4d_V1R0 was populated),Last 4 digits of Social Security Number Given,RCRTUP_SSN4D_GIVEN_V1R0,Num,1,948822781,0 = No,,,,Yes,No,,
,,,,,,,,,,,679768715,1 = Yes,,,,,,,
,496143846,Recruitment,676482763,User Profile,668138828,Autogenerated date/time when partical Social Security Number submitted,Full Social Security number submitted,RCRTUP_SSN4dTIME_V1R0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,,Yes,No,,
,496143846,Recruitment,780957631,Completion Time,784100730,Derived variable for the time from sign-in to submission of consent as RcrtCS_ConsentSumit_v1r0 - RcrtSI_SignTime_v1r0,Time from account to consent,RCRTCT_ACCT_CNST_V1R0,Minutes,18,,N/A,,,,Yes,No,"Can be further derived to other time units (e.g. hours + fractions of hours) or as multiple time variables (e.g. hours, minutes, and seconds)",
,496143846,Recruitment,780957631,Completion Time,785121061,Derived variable for the time from submission of consent to completion of User Profile as RcrtUP_SUBMITTIME_V1R0 - RcrtCS_ConsentSumit_v1r0,Time from consent to user profile,RCRTCT_CNST_UP_V1R0,Minutes,18,,N/A,,,,Yes,No,"Can be further derived to other time units (e.g. hours + fractions of hours) or as multiple time variables (e.g. hours, minutes, and seconds)",
,496143846,Recruitment,780957631,Completion Time,613671040,Derived variable for the time from submission of User Profile to submission of social security as RCRTUP_SSNTIME_V1R0-RCRTUP_SUBMITTIME_V1R0 or RcrtUP_SSN4dTIME_V1R0-RCRTUP_SUBMITTIME_V1R0 if partial SSN given.,Time from user profile to social security,RCRTCT_UP_SSN_V1R0,Minutes,18,,N/A,,,,Yes,No,"Can be further derived to other time units (e.g. hours + fractions of hours) or as multiple time variables (e.g. hours, minutes, and seconds)",
,496143846,Recruitment,780957631,Completion Time,567254392,Derived variable for the time from sign-in to completion of SSN as RCRTUP_SSNTIME_V1R0 -RcrtSI_SignTime_v1r0 or RCRTUP_SSN4DTIME_V1R0 - RcrtSI_SignTime_v1r0 if partial SSN given.,Time from account to social security,RCRTCT_ACCT_SSN_V1R0,Minutes,18,,N/A,,,,Yes,No,"Can be further derived to other time units (e.g. hours + fractions of hours) or as multiple time variables (e.g. hours, minutes, and seconds)",
,496143846,Recruitment,972256980,Verification,061279438,Indicator of match verification after creation of user profile - updated by sites,Verification status,RcrtV_Verification_V1R0,Num,1,076319600,0 = Not yet verified,,,,Yes,No,"Default, Not yet verified - 0, assigned at submission StudyIDs from sites.  Updates will be received from the Sites.",
,,,,,,,,,,,949454093,1 = Verified,,,,,,,
,,,,,,,,,,,064247770,2 = Cannot be verified,,,,,,,
,496143846,Recruitment,972256980,Verification,433534054,Autogenerated date/time verification status is updated,Verification status time,RcrtV_VerificationTm_V1R0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,,Yes,No,,
